Item,Desc.,Quantity,Price/Unit,Total Price + Tax,                                      URL,Running total+Tax,,,,,,,,,,,,,,,,,,Tax:,109.38%
3D-Printing PLA 1.75mm Filament,Main Structural Material of Arm,~300g/(1/3),$6.00,$6.56,"No Specific URL, 300g of any Filament",$6.56,,,,,,,,,,,,,,,,,,,
Jumper Wires/ Dupont Wires,For connecting Electrical Parts,30,               ~$0.06,$1.97,amazon.com/EDGELEC-Breadboard-Optional-Assorted-Multicolored/dp/B07GD1XFWV/ref=sr_1_1?crid=2XL1XX3UVOZFH&dib=eyJ2IjoiMSJ9.BCNOUzF5oy-3VP6HV7wURP_ev6FGw8aJWRI9n4tj_acw8yguvqB2dYJdbEpj6pS80TtjnIOWufZ4GomWajMGJQyhD8Bp1L0_JKkOtQ3GU5CDlvw-X2_kQPnkX677idvyevW4gKP6GpO7CVrJQyIUmZElKLvN8vHtDDt-tskBWByKIT-gna25YXGKXN4BTTzTsMcFw3xdZSyIXpttNX8J9PBybf0rxHtNSQK06L_Dkoo.sWIdnzRJfTianqIyaaWscGUJXDAsKJ2d13f8DarcPhQ&dib_tag=se&keywords=30+dupont+wires&qid=1770860295&sprefix=30+dupont+wires%2Caps%2C359&sr=8-1,$8.53,,,,,,,,,,,,,,,,,,,
2.1mm DC Jack Screw to Terminal (Female),Power Intake for Parts,2,$0.79,$1.73,https://www.amazon.com/Chanzon-Female-Connector-Security-Adapter/dp/B079RCNNCK/ref=sr_1_5?dib=eyJ2IjoiMSJ9.HhJfM-lyjs_8iLZkApuzbaGLpstDpWG00jp_zJgT4UB9DYbPuo29HoZQtefL2fWBRluxFp-PFPA_ypTnIMphtRwWgcajUts64hJqqGzDilF3OVQ0cJhMtihRiKTH2f4x9L363-fuexHJzCR-cN7FZXREoOdygr-D3B1GF5hyTqLhIx4rFM7AnK8ChetzpqLnP73BuXbKc5Ghhhnxf5m6k1-ygSaSq9Gd_K3cVKSMOJU.W3dxz-UhzY5jw_NabQzb8a32BkQh3seKfjZhkAcqr8w&dib_tag=se&keywords=Female+DC+Jack+Screw+to+Terminal&qid=1770860146&sr=8-5,$10.26,,,,,,,,,,,,,,,,,,,
PCA9685 PWM Servo Motor Driver,Board for Controlling Arm/Servos,1,$5.99,$6.55,amazon.com/Dorhea-PCA9685-Interface-Controller-Raspberry/dp/B07RMTN4NZ/ref=sr_1_6?crid=1OJG9LHQ8KGXX&dib=eyJ2IjoiMSJ9.yCfK_Mw8Q18q0nL6JWuQY3Tc4UBdp16Bra70mdTq0WV0R5mMIgqjH7sNQPPvzQ_YpXMmIG5Wg-CAJ4k5F30K7mqs3NHBw2f84DEXss2W6xCZKgazh_YEHXrW42Sp6hAGuq4rsRhAUpLCxfpSMJfpeaBMOpDfI2U8N4O0xdSxTqlfUtVNF-Ful1v7Gy7Xk9oGLlh0WLzg1Gc1tBZ3oskpNSo6zOk3-_RMuRRO9FkOh34.XkiWChxz-C0w8jaqGmpYHjIoWxELiY1ZGAjWu2A-FDo&dib_tag=se&keywords=PCA9685&qid=1770860344&sprefix=pca9685%2Caps%2C249&sr=8-6,$16.81,,,,,,,,,,,,,,,,,,,
MG996R Servo Motor,Base/Shoulder Rotation Motor,2,$4.99,$10.93,amazon.com/AEDIKO-MG996R-Control-Digital-Helicopter/dp/B09BZ5955Z/ref=sr_1_1?crid=3MS72J2G18U43&dib=eyJ2IjoiMSJ9.L8An2Sh9UPZCuaTAGoiF3B5esBP16ogzUUfl14Ws7OIIni0YeVNimU9ORKNhl9upyZLu7O8EnLXXH7VQe3-H7m8hbQCWaYeMTt4_q4guTl8UsRLgrpdTJbyM8irzwOX7YHwywYRgP85ckEGG-3IZhhbFtt8WOhuAFM_t9R4-792YhE7UJ10rJv-WYUwymkZEXimKQ9TCz-LxdFVrwnJTmCOt2EzXY_-403n765yLjdOzOIL2pVgZn-qwnywqfb423UCBLlqlYgdG_xUkmVvR7bZNJ15JNUNS31X6BvppCw4.CJNWBbU7iyHJX2WvWSkbF1D1MPTSJR-EXccp2H2x3zY&dib_tag=se&keywords=mg996R&qid=1770860427&refinements=p_36%3A700-1100&rnid=386491011&sprefix=mg996r%2Caps%2C280&sr=8-1,$27.74,,,,,,,,,,,,,,,,,,,
SG90 Servo Motor,3-Finger Gripper Motor,1,$3.49,$3.82,amazon.com/Servo-Helicopter-Airplane-Remote-Control/dp/B09L525KDT/ref=sr_1_30?crid=26AZ710PZMV04&dib=eyJ2IjoiMSJ9.DO_8huDXG-WCdEl_xxmMGH5dRVG-RPtoTncxnVsqWp8Ehbr3NdGPOS53f4GPbNnLKAivVppPHVXy3dNGWZuVxLkMYPRGRiC4DB-nEJeEkqQpy1aIBJ8HEQO-xsrA73LAKZ25J3b2lSAHmZEEDPQHLawV31vOwsG6ILEnGlfwkk6T4qtxnYdmAssxn5M0rMa-p8sQNXBVeXReoTVbtlXlwRj87KIjRiK5sMA_ufNdaOlhm6h-aAC6hYKnTLw31kt-GogWZyua1ADop6h3O5HIXYvkmSzptZiJ-IaMli9UdPA.EByKWB5h5HGtm3i6ncrQjkla1ZT2VYSYNif5DOw19Kw&dib_tag=se&keywords=sg90&qid=1770860624&sprefix=sg90%2Caps%2C237&sr=8-30,$31.56,,,,,,,,,,,,,,,,,,,
A330 Servo Motor,Wrist Joint Rotation Motor,1,$13.99,$15.30,https://www.amazon.com/SPM-9-Gram-Servo-Reversed/dp/B07177SQMW/ref=sr_1_1?crid=3AS7UM4YMSHVZ&dib=eyJ2IjoiMSJ9.Iupin1oq2-cwpfz_uH9pLecCXw8sJ2KrNYOCLktU0RtLnOwcwY3nQaQMiOxuL4a0EIAGqj5MKpKF4gdHXzg9QM4253R16BO3WSOJtjjBl_jkQSnAzetIR02kWRim1aczMSyb6ZwOuxdXkO9vSnBJK0cwCPSRefTO2IlG631sMLHPeM_4zSsKP-lJELCb-BwZ8APzo8IOAt6Tk_fJaTe3D1tSqGz4P8eE0lH_puXld8Qjb9LmArdvqR1t4tg0heQUJcp38CIm74Za4o4RzVt5vqHo6MswpseAVg598oWYylg.IHeDSyPq7rkcoI_wBdB2RYQmMbHeIDz_XskDGRj1dnA&dib_tag=se&keywords=spektrum+a330+servo&qid=1770860704&sprefix=A330+spektrum+%2Caps%2C302&sr=8-1,$46.86,,,,,,,,,,,,,,,,,,,
ESP-WROOM-32 Microcontroller,Board for Controlling all Parts/Code,2,$9.99,$21.85,amazon.com/HiLetgo-ESP-WROOM-32-Development-Microcontroller-Integrated/dp/B0718T232Z/ref=sr_1_9?crid=72U8LQHDEHIS&dib=eyJ2IjoiMSJ9.XBINg-sjhfF_gUtnMiKGjq4fMHz7dyK9dj-72o379-7AOtDJxA5HoGjtDa3gcuHnrzHvuVsWK92OCEocpKVKeMq5G2FW83qPn9lsfwIRaG0lsQkXLxXy6C24v5BE6xxIITcbeCwo7mke5F_YYall1MKkfYRW0yEsj1osxNfKDUa5Jr29P37AH6Bm7RFz3h4FOnjcgyeovY4fLe--41jlhctAagOfd-aVtAlKHc5VuPosMJ5zWgpD9MJ6MknSkmP-766tK9_ROPcbr5FntkbeOO6XCc5wJa0BtRbVpF2mxMk.cft0BL8wEbDFTQ0x7KeaH5a0tW542ntz8PxuUeqMxEA&dib_tag=se&keywords=esp-wroom-32&qid=1770859997&s=electronics&sprefix=esp-wroom-3%2Celectronics%2C458&sr=1-9,$68.71,,,,,,,,,,,,,,,,,,,
400-Tie-Point Breabord,Mount for ESP32 and Wire Connections,1,$4.99,$5.46,https://www.amazon.com/Low-Voltage-Labs-Solderless-prototyping/dp/B08J8DZTWZ/ref=sr_1_20?crid=3C9FX52Z5NPQX&dib=eyJ2IjoiMSJ9.i8Y3mm3867cjldkjogpeyG6zs40ug7fkxsh6IjV1iH5P0aAbVIlb9_4Xqy3Po4AcmQCu2TFfeKoqJMUx1Glu5xwN0aEp7ETaW_iPb2tf7iKb-MnHsjATiQTuuT_wBSlGFNYQslx0BWeJzsznhsdYAC8W0KBBVKMXtOKKW_t3zGFKvsgjbgQVuV_CH9GX7opyGgTx6WssVxpu8JzCIpZ7wRDcbEjSvXJWIq9dXJXR46o.6m_QLbwSpt9gaR3rgIsJB3eEjcETuJQ2DMlfowaKtDU&dib_tag=se&keywords=400%2Btie%2Bpoint%2Bbreadboard&qid=1770860758&sprefix=400%2Btie%2Bpooint%2Bbreadboar%2Caps%2C228&sr=8-20&th=1,$74.17,,,,,,,,,,,,,,,,,,,
2.4mm Lead-Shot Balls,Weight for Stabillizing Balance,            2 lb,$12.99,$14.21,amazon.com/Premium-Balls-Reloading-Fishing-Supplies/dp/B0DJWKBQ1Y/ref=sr_1_2?crid=3QU9O4M56GN0C&dib=eyJ2IjoiMSJ9.RI5hTzLS86fqoSIQ0xcesAieKGdc0Ad72qDu9-tuvZfOpjNd13_qqiWVnN-sUHvYD9x_iifGMUipCf08KsKxBdeAgGDaBEiuVsKihep3sV6oOVoB6b-G2eNc1qBZi0KqyTGk48usWrkqk17MKjXsdFUoBvwIratKrHmjemYlEYsyAmWJv5ISOxHudga3Vh3D-TSxvY4VDYtkVD3RQWZNyaZyYMTRbaRs0DMjkwPHHeuGtj5qtauu2Nr65Yyl1_URo8-H6_GTnb_hFz7W2LXjn1idHK1NTpVTQrLR7gfFWSI.mu6Cc7T691it8O28MlOgtbqoaxOC_xvVRvxw2nNVaXo&dib_tag=se&keywords=2.4+mm+lead+shot+balls&qid=1770860828&sprefix=2.4+mm+lead+shot+balls%2Caps%2C227&sr=8-2,$88.38,,,,,,,,,,,,,,,,,,,
